s2,s1,fna_dist,bk_no_clean_up,ak_no_clean_up,bk_cleaned,ak_cleaned,C_sequences_prct.y,C_sequences_prct.x,j_bk,wp_bk,zp_bk,d_bk,j_ucseq_ak,wp_ucseq_ak,zp_ucseq_ak,d_ucseq_ak,j_cseq_ak,wp_cseq_ak,zp_cseq_ak,d_cseq_ak
Drosophila_bipectinata,Drosophila_mojavensis,0.154086953,0.151301274,0.166799345,0.151246047,0.166745745,10.4,14.44,0.0008544,13155893.62,95513801.36,0.151246047,0.0004614,10942615.74,83051531.13,0.166745745,0.0025921,1543534.955,13599498.4,0.114849289
Drosophila_bipectinata,Drosophila_persimilis,0.138629491,0.102636129,0.127005027,0.102602625,0.126955269,10.4,9.04,0.004595,12186997.05,92924630.96,0.102602625,0.0018976,10633745.64,83451913.17,0.126955269,0.023529486,1043232.041,10148421.61,0.047166351
Drosophila_bipectinata,Drosophila_pseudoobscura,0.138358239,0.126648181,0.140817013,0.126610594,0.140751556,10.4,8.14,0.0020455,12603916.73,92904979.5,0.126610594,0.0011978,11063244.13,83887926.66,0.140751556,0.007182944,992833.1812,9750014.58,0.082190902
Drosophila_bipectinata,Drosophila_sechellia,0.122739867,0.106855077,0.121907602,0.106801985,0.12187226,10.4,6.95,0.0041877,12746442.76,92174028.11,0.106801985,0.002407,11318418.41,83876895.29,0.12187226,0.017835467,948065.3245,8892617.24,0.056584149
Drosophila_bipectinata,Drosophila_simulans,0.121421968,0.117590135,0.11939592,0.117546941,0.119350724,10.4,5.48,0.0030344,13497448.63,92455910.48,0.117546941,0.0027767,12084458.12,84877955.65,0.119350724,0.002416031,894255.3596,8257148.749,0.11551379
Drosophila_bipectinata,Drosophila_virilis,0.164731888,0.088624484,0.162578387,0.088597788,0.162558874,10.4,15.04,0.0068492,10338152.04,85660366.19,0.088597788,0.0004634,8478760.541,74844582.55,0.162558874,0.0481079,1354064.709,11437290.3,0.030102998
Drosophila_bipectinata,Drosophila_willistoni,0.160853098,0.121574655,0.157164762,0.121548582,0.157124452,10.4,11,0.002082,10121942.67,87687280.18,0.121548582,0.0005661,8807611.469,77781781.01,0.157124452,0.012138855,885708.3806,10495509.04,0.060998813
Drosophila_bipectinata,Drosophila_yakuba,0.124056627,0.115827211,0.121879405,0.115789553,0.121833274,10.4,5.91,0.0030899,12863883.68,92043352.35,0.115789553,0.0024348,11478325.78,84208842.13,0.121833274,0.006834186,856135.367,8465579.905,0.083449858
Drosophila_erecta,Drosophila_ananassae,0.123016457,0.124462229,0.124541336,0.12445371,0.124513076,6.03,12.18,0.0025289,13638402.23,87817527.98,0.12445371,0.0023327,11534593.51,80333167.49,0.124513076,0.001765862,1115482.77,7950322.288,0.131677525
Drosophila_erecta,Drosophila_biarmipes,0.09853436,0.097504468,0.098935499,0.097493051,0.098921628,6.03,5.74,0.0065131,15120826.4,97179441.02,0.097493051,0.0061155,13984490.18,91096572.98,0.098921628,0.003715596,651607.4664,6850440.64,0.09942274
Drosophila_erecta,Drosophila_bipectinata,0.123456883,0.113008547,0.115526825,0.112974839,0.11548801,6.03,10.4,0.0036107,14116352.15,95435613.56,0.112974839,0.0032252,12613348.33,87395210.3,0.11548801,0.004164709,964409.9388,8786365.777,0.100280084
Drosophila_erecta,Drosophila_erecta,0,0,0,0,0,6.03,6.03,,,,,,,,,,,,
Drosophila_erecta,Drosophila_eugracilis,0.095595385,0.092329918,0.094438503,0.092311953,0.094412862,6.03,9.07,0.0073981,14091441.99,95295299.8,0.092311953,0.0067715,12759369.51,87682487.84,0.094412862,0.005102819,821473.1128,8408551.332,0.090983316
