bin,cl,Drosophila_sim_WXD1_downSmpld_bk,skmer_dist_change_bk_closer_pair,ucseq_Drosophila_sim_WXD1_downSmpld,skmer_dist_change_ak_closer_pair,ucseq_Drosophila_sim_WXD1_downSmpld,skmer_dist_change_ak_closer_pair,ucseq_Drosophila_sim_WXD1_downSmpld,skmer_dist_change_ak_closer_pair,ucseq_Drosophila_sim_WXD1_downSmpld,skmer_dist_change_ak_closer_pair,Dros_sech_plant_bk,skmer_dist_change_bk,ucseq_Dros_sech_plant,skmer_dist_change_ak,ucseq_Dros_sech_plant,,ucseq_Dros_sech_plant,,ucseq_Dros_sech_plant,,Drosophila_yakuba_downSmpld,,ucseq_Drosophila_yakuba_downSmpld,,ucseq_Drosophila_yakuba_downSmpld,,ucseq_Drosophila_yakuba_downSmpld,,ucseq_Drosophila_yakuba_downSmpld,
05-15,20,0.005412172,-0.232919628,0.003193085,-0.547436244,0.003003195,-0.574349788,0.00314975,-0.553578149,0.003088734,-0.562226162,0.024663535,-0.059324036,0.022486399,-0.142360794,0.0222963,-0.149611233,0.023235016,-0.113808263,0.023429621,-0.106385965,0.066047279,-0.02343207,0.064356538,-0.048431194,0.06438404,-0.048024544,0.067354678,-0.004101007,0.0676052,-0.000396828
05-15,15,0.004038624,-0.427595865,0.002651658,-0.624173943,0.00252046,-0.642769071,0.002799712,-0.603189994,0.002675142,-0.620845503,0.023303507,-0.111195977,0.021960676,-0.162412021,0.021837898,-0.167094848,0.022919972,-0.12582415,0.023013338,-0.122263117,0.064777505,-0.042206822,0.063887516,-0.0553661,0.063982471,-0.053962101,0.067079558,-0.008168909,0.067364062,-0.003962265
05-15,10,0.002904186,-0.588382596,0.002243592,-0.682010243,0.002185364,-0.69026302,0.002510715,-0.644150169,0.002370233,-0.66406102,0.022195388,-0.153460045,0.021577686,-0.177019417,0.021523615,-0.179081705,0.022654422,-0.135952325,0.022797122,-0.130509707,0.063655175,-0.058801462,0.063430937,-0.062117025,0.063596712,-0.0596659,0.0666729,-0.014181702,0.06701473,-0.009127442
05-15,5,0.002199336,-0.688282649,0.002010314,-0.715073309,0.001992622,-0.717580856,0.002346686,-0.66739844,0.002210364,-0.686719654,0.021496787,-0.180104923,0.021354708,-0.185523867,0.021338121,-0.186156492,0.022490939,-0.142187635,0.022650533,-0.13610063,0.062973364,-0.068882646,0.063175893,-0.06588808,0.06337808,-0.062898556,0.066471243,-0.017163385,0.066800033,-0.012301933
05-15,2,0.001986026,-0.718515658,0.001940782,-0.724928203,0.001933073,-0.726020859,0.002296377,-0.674528903,0.002201346,-0.687997812,0.021262982,-0.189022351,0.021276228,-0.188517117,0.021271226,-0.188707921,0.022448483,-0.143806919,0.022638889,-0.136544765,0.062740948,-0.072319122,0.063087214,-0.06719928,0.063306771,-0.063952931,0.066425703,-0.017836733,0.066835888,-0.01177179
05-15,1,0.001951613,-0.723393076,0.001938638,-0.725232147,0.001938516,-0.725249392,0.002303031,-0.673585814,0.002197231,-0.688581026,0.021235296,-0.190078282,0.021281976,-0.188297897,0.021282863,-0.188264057,0.022481116,-0.142562282,0.022646254,-0.13626384,0.062710665,-0.072766887,0.063075498,-0.067372512,0.063300661,-0.064043265,0.06643354,-0.017720864,0.066811929,-0.012126037
05-15,0,0.001933919,-0.725900949,0.00193371,-0.72593048,0.001933052,-0.726023755,0.002286099,-0.675985637,0.002190159,-0.689583422,0.021215276,-0.190841866,0.021274834,-0.188570283,0.021274266,-0.18859194,0.022452153,-0.143666924,0.022628222,-0.136951594,0.062705933,-0.07283685,0.063076267,-0.067361141,0.063300354,-0.064047817,0.066420419,-0.017914859,0.066785678,-0.012514192
15-25,25,0.007055547,#DIV/0!,0.006113992,#DIV/0!,0.005892626,#DIV/0!,0.006207252,#DIV/0!,0.006138258,#DIV/0!,0.026218949,#DIV/0!,0.025334966,#DIV/0!,0.025122543,#DIV/0!,0.026202867,#DIV/0!,0.026381902,#DIV/0!,0.067632038,#DIV/0!,0.067160802,#DIV/0!,0.067179208,#DIV/0!,0.070205872,#DIV/0!,0.070643603,#DIV/0!
15-25,20,0.005517467,#DIV/0!,0.004819923,#DIV/0!,0.004669023,#DIV/0!,0.004908755,#DIV/0!,0.00485824,#DIV/0!,0.024766792,#DIV/0!,0.024113549,#DIV/0!,0.023971576,#DIV/0!,0.025028282,#DIV/0!,0.025211384,#DIV/0!,0.066150061,#DIV/0!,0.065892223,#DIV/0!,0.065946573,#DIV/0!,0.069012763,#DIV/0!,0.069263088,#DIV/0!
15-25,15,0.004107228,#DIV/0!,0.003651041,#DIV/0!,0.003536163,#DIV/0!,0.003880606,#DIV/0!,0.003759029,#DIV/0!,0.023370553,#DIV/0!,0.022965261,#DIV/0!,0.022863666,#DIV/0!,0.024026943,#DIV/0!,0.024111734,#DIV/0!,0.064843348,#DIV/0!,0.064821856,#DIV/0!,0.064931461,#DIV/0!,0.068097623,#DIV/0!,0.068398551,#DIV/0!
15-25,10,0.002957815,#DIV/0!,0.002730298,#DIV/0!,0.002675963,#DIV/0!,0.003014294,#DIV/0!,0.002898771,#DIV/0!,0.022248209,#DIV/0!,0.022071454,#DIV/0!,0.022028718,#DIV/0!,0.023187804,#DIV/0!,0.023340846,#DIV/0!,0.063709782,#DIV/0!,0.0638883,#DIV/0!,0.064052893,#DIV/0!,0.067154688,#DIV/0!,0.067515861,#DIV/0!
15-25,5,0.002212017,#DIV/0!,0.002151972,#DIV/0!,0.002134126,#DIV/0!,0.002491685,#DIV/0!,0.002361583,#DIV/0!,0.021508601,#DIV/0!,0.021501023,#DIV/0!,0.021489512,#DIV/0!,0.022646701,#DIV/0!,0.022809415,#DIV/0!,0.062985172,#DIV/0!,0.06330742,#DIV/0!,0.063507269,#DIV/0!,0.066601455,#DIV/0!,0.06694357,#DIV/0!
15-25,2,0.001990353,#DIV/0!,0.00197268,#DIV/0!,0.001965107,#DIV/0!,0.002331627,#DIV/0!,0.002236787,#DIV/0!,0.021267072,#DIV/0!,0.021309174,#DIV/0!,0.021308337,#DIV/0!,0.022484331,#DIV/0!,0.022677989,#DIV/0!,0.062745161,#DIV/0!,0.06311751,#DIV/0!,0.063332722,#DIV/0!,0.066448816,#DIV/0!,0.06686947,#DIV/0!
15-25,1,0.001953692,#DIV/0!,0.001949603,#DIV/0!,0.00195028,#DIV/0!,0.002315076,#DIV/0!,0.002210721,#DIV/0!,0.021237485,#DIV/0!,0.021295194,#DIV/0!,0.021297821,#DIV/0!,0.022492071,#DIV/0!,0.022663454,#DIV/0!,0.0627133,#DIV/0!,0.063089233,#DIV/0!,0.063309167,#DIV/0!,0.066438293,#DIV/0!,0.066822661,#DIV/0!
15-25,0,0.001933919,#DIV/0!,0.00193371,#DIV/0!,0.001933052,#DIV/0!,0.002286099,#DIV/0!,0.002190159,#DIV/0!,0.021215276,#DIV/0!,0.021274834,#DIV/0!,0.021274266,#DIV/0!,0.022452153,#DIV/0!,0.022628222,#DIV/0!,0.062705933,#DIV/0!,0.063076267,#DIV/0!,0.063300354,#DIV/0!,0.066420419,#DIV/0!,0.066785678,#DIV/0!
